Date,Open,High,Low,Close,Volume
2016-07-25,1.2556,1.6044,1.2556,1.5346,104330
2016-07-26,1.6044,1.709,1.409,1.4858,111026
2016-07-27,1.5276,1.5486,1.2277,1.2556,31518
2016-07-28,1.3602,1.5346,1.2765,1.4997,21792
2016-07-29,1.423,1.4858,1.3323,1.3951,4243
2016-08-01,1.3742,1.3951,1.3463,1.3951,3025
2016-08-02,1.4649,1.4858,1.416,1.4649,8874
2016-08-03,1.4649,1.4718,1.416,1.416,3551
2016-08-04,1.4788,1.4788,1.3742,1.3742,688
2016-08-05,1.3742,1.3742,1.3742,1.3742,387
2016-08-08,1.3602,1.3602,1.2556,1.2556,5025
2016-08-09,1.2835,1.423,1.2835,1.423,1570
2016-08-10,1.3463,1.4021,1.3463,1.4021,1068
2016-08-11,1.3253,1.3253,1.3184,1.3184,803
2016-08-12,1.3253,1.3951,1.2905,1.2905,3426
2016-08-16,1.3253,1.3393,1.2905,1.3253,10396
2016-08-17,1.3184,1.3184,1.3184,1.3184,2043
2016-08-18,1.2695,1.5207,1.2695,1.3951,19493
2016-08-19,1.4718,1.6044,1.3951,1.5276,23124
2016-08-22,1.5276,1.5276,1.3951,1.3951,4021
2016-08-23,1.409,1.409,1.2556,1.2905,19259
2016-08-24,1.2556,1.3951,1.2556,1.3951,1047
2016-08-25,1.2556,1.4649,1.2556,1.2974,2158
2016-08-26,1.3323,1.4579,1.3323,1.4579,3501
2016-08-29,1.4579,1.4579,1.2765,1.2765,3005
2016-08-30,1.3951,1.3951,1.2556,1.2905,10680
2016-08-31,1.2905,1.2905,1.2556,1.2556,5988
2016-09-01,1.2695,1.2695,1.2277,1.2277,5273
2016-09-02,1.2277,1.2277,1.1161,1.1579,8329
2016-09-05,1.151,1.1858,1.0463,1.137,11655
2016-09-06,1.1858,1.3532,1.1858,1.3114,3415
2016-09-07,1.1998,1.2207,1.1928,1.1928,1548
2016-09-08,1.1928,1.3811,1.1928,1.3811,1004
2016-09-09,1.2207,1.3253,1.2207,1.3253,1564
2016-09-12,1.2207,1.2207,1.2207,1.2207,2980
2016-09-13,1.2068,1.3393,1.2068,1.3253,9410
2016-09-14,1.3253,1.3253,1.2207,1.2626,2439
2016-09-15,1.3602,1.3602,0.9835,0.9905,18889
2016-09-16,1.0045,1.0045,0.8092,0.8371,23664
2016-09-19,0.9347,1.0045,0.8371,1.0045,2183
2016-09-20,1.0045,1.0045,0.9277,0.9277,2793
2016-09-21,0.8929,1.0045,0.8231,0.8859,18181
2016-09-22,0.844,0.844,0.8371,0.8371,6982
2016-09-23,0.8231,0.8231,0.8231,0.8231,1434
2016-09-26,0.8301,0.8301,0.8301,0.8301,186
2016-09-28,0.844,0.9766,0.844,0.9766,1233
2016-09-29,0.8789,0.8789,0.8371,0.8371,6562
2016-09-30,0.8231,0.8231,0.8231,0.8231,2867
2016-10-03,0.8231,0.858,0.8092,0.858,1307
2016-10-04,0.8719,0.9696,0.8719,0.8789,4471
2016-10-05,0.851,0.851,0.8371,0.8371,3944
2016-10-06,0.7952,0.844,0.7952,0.844,4708
2016-10-07,0.9417,0.9417,0.9417,0.9417,1
2016-10-11,0.8371,0.8371,0.8371,0.8371,459
2016-10-14,0.9138,0.9138,0.9138,0.9138,7
2016-10-17,0.9277,0.9766,0.9068,0.9068,13256
2016-10-18,0.9766,0.9766,0.9766,0.9766,12654
2016-10-19,0.9068,0.9347,0.844,0.844,69667
2016-10-20,0.8789,0.9417,0.8789,0.9068,15124
2016-10-21,0.8789,0.9068,0.8301,0.8789,22449
2016-10-24,0.8859,0.8859,0.8301,0.844,13190
2016-10-25,0.8719,0.8789,0.8301,0.8789,6946
2016-10-26,0.8301,0.865,0.8022,0.8092,41290
2016-10-27,0.8301,0.8371,0.8301,0.8301,2618
2016-10-31,0.8301,0.8859,0.8301,0.8859,495
2016-11-02,0.8859,0.8859,0.8859,0.8859,7168
2016-11-03,0.8161,0.8161,0.6906,0.6975,251961
2016-11-04,0.7603,0.7603,0.6138,0.6487,136064
2016-11-07,0.6487,0.6627,0.558,0.6138,151312
2016-11-08,0.6278,0.6627,0.6278,0.6487,38958
2016-11-09,0.6278,0.6348,0.6278,0.6348,639
2016-11-10,0.6487,0.7115,0.6417,0.6836,15190
